"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 27, 2022","25.270","24.195","25.648","24.195","-","4.97%"
"Feb 20, 2022","24.073","24.095","25.705","23.755","171.55K","0.15%"
"Feb 13, 2022","24.038","23.650","24.165","23.125","56.57K","2.64%"
"Feb 06, 2022","23.420","22.580","23.780","22.580","72.06K","4.01%"
"Jan 30, 2022","22.517","22.505","23.090","22.050","18.76K","0.79%"
"Jan 23, 2022","22.340","24.350","24.380","22.200","13.55K","-8.28%"
"Jan 16, 2022","24.357","23.035","24.790","22.870","7.89K","6.11%"
"Jan 09, 2022","22.954","22.380","23.370","22.275","14.41K","2.28%"
"Jan 02, 2022","22.443","23.395","23.460","21.985","7.45K","-4.01%"
"Dec 26, 2021","23.381","22.900","23.480","22.600","124.50K","1.96%"
"Dec 19, 2021","22.931","22.300","22.870","22.225","0.88K","1.88%"
"Dec 12, 2021","22.507","22.245","22.485","21.500","0.10K","1.57%"
"Dec 05, 2021","22.160","22.490","22.560","21.800","0.44K","-1.27%"
"Nov 28, 2021","22.445","23.135","23.415","22.040","13.52K","-2.86%"
"Nov 21, 2021","23.107","24.655","24.953","22.915","54.62K","-6.76%"
"Nov 14, 2021","24.781","25.425","25.490","24.610","263.45K","-2.23%"
"Nov 07, 2021","25.346","24.285","25.470","24.040","346.32K","4.92%"
"Oct 31, 2021","24.157","23.985","24.255","23.045","235.68K","0.87%"
"Oct 24, 2021","23.949","24.395","24.695","23.705","200.64K","-2.05%"
"Oct 17, 2021","24.449","23.380","24.920","23.035","257.90K","4.71%"
"Oct 10, 2021","23.349","22.685","23.645","22.325","199.04K","2.84%"
"Oct 03, 2021","22.705","22.600","23.220","22.185","142.67K","0.75%"
"Sep 26, 2021","22.536","22.395","22.865","21.410","237.88K","0.49%"
"Sep 19, 2021","22.425","22.330","23.150","22.025","187.82K","0.39%"
"Sep 12, 2021","22.337","23.790","24.000","22.305","213.10K","-6.54%"
"Sep 05, 2021","23.900","24.865","24.895","23.760","158.77K","-3.64%"
"Aug 29, 2021","24.802","24.130","24.945","23.775","178.06K","3.08%"
"Aug 22, 2021","24.062","22.985","24.135","22.925","221.60K","4.11%"
"Aug 15, 2021","23.112","23.745","23.955","22.835","182.67K","-2.80%"
"Aug 08, 2021","23.779","24.340","24.380","22.295","318.48K","-2.25%"
"Aug 01, 2021","24.326","25.625","26.090","24.205","213.21K","-4.78%"
"Jul 25, 2021","25.547","25.270","25.875","24.515","246.61K","1.24%"
"Jul 18, 2021","25.233","25.700","25.805","24.790","249.67K","-2.18%"
"Jul 11, 2021","25.795","26.185","26.575","25.640","194.46K","-1.67%"
"Jul 04, 2021","26.234","26.640","26.910","25.820","190.08K","-1.01%"
"Jun 27, 2021","26.501","26.220","26.700","25.580","215.78K","1.59%"
"Jun 20, 2021","26.087","25.865","26.380","25.580","239.65K","0.45%"
"Jun 13, 2021","25.969","28.095","28.160","25.770","356.25K","-7.73%"
"Jun 06, 2021","28.146","27.910","28.445","27.475","279.53K","0.90%"
"May 30, 2021","27.896","28.060","28.710","27.090","346.05K","-0.42%"
"May 23, 2021","28.014","27.690","28.340","27.480","243.20K","1.92%"
"May 16, 2021","27.486","27.515","28.900","27.265","329.04K","0.44%"
"May 09, 2021","27.365","27.680","28.005","26.780","268.78K","-0.41%"
"May 02, 2021","27.477","25.990","27.800","25.850","285.90K","6.20%"
"Apr 25, 2021","25.873","26.090","26.580","25.745","275.68K","-0.77%"
"Apr 18, 2021","26.075","26.055","26.730","25.670","317.34K","-0.11%"
"Apr 11, 2021","26.105","25.300","26.380","24.680","271.53K","3.08%"
"Apr 04, 2021","25.325","25.050","25.675","24.660","202.89K","1.51%"
"Mar 28, 2021","24.948","25.105","25.150","23.740","191.44K","-0.66%"
"Mar 21, 2021","25.114","26.340","26.350","24.435","296.83K","-4.59%"
"Mar 14, 2021","26.321","26.070","26.740","25.805","279.37K","1.58%"
"Mar 07, 2021","25.911","25.400","26.545","24.970","296.30K","2.47%"
"Feb 28, 2021","25.287","26.700","27.175","24.845","410.50K","-4.36%"
"Feb 21, 2021","26.440","27.590","28.470","26.160","403.50K","-3.13%"
"Feb 14, 2021","27.293","27.505","28.105","26.155","85.83K","-0.27%"
"Feb 07, 2021","27.368","27.185","27.895","26.800","76.19K","1.15%"
"Jan 31, 2021","27.058","28.410","30.040","25.980","87.83K","0.39%"
"Jan 24, 2021","26.953","25.620","27.795","24.775","31.16K","5.27%"
"Jan 17, 2021","25.603","24.850","26.165","24.095","10.63K","2.74%"
"Jan 10, 2021","24.919","25.520","26.025","24.425","15.18K","0.89%"
"Jan 03, 2021","24.699","26.825","28.150","24.605","14.50K","-6.70%"
"Dec 27, 2020","26.473","26.245","27.000","26.135","6.41K","1.96%"
"Dec 20, 2020","25.964","26.195","27.595","25.185","6.55K","-0.46%"
"Dec 13, 2020","26.083","24.215","26.355","23.825","9.36K","8.07%"
"Dec 06, 2020","24.135","24.295","25.065","23.705","9.50K","-0.74%"
"Nov 29, 2020","24.316","22.825","24.645","22.065","10.10K","7.07%"
"Nov 22, 2020","22.711","24.500","24.535","22.500","7.13K","-7.53%"
"Nov 15, 2020","24.561","25.255","25.330","23.975","3.84K","-1.73%"
"Nov 08, 2020","24.993","26.275","26.275","23.875","7.49K","-3.50%"
"Nov 01, 2020","25.900","23.720","26.170","23.720","5.22K","8.37%"
"Oct 25, 2020","23.900","24.700","25.000","22.875","2.42K","-4.15%"
"Oct 18, 2020","24.936","24.525","25.680","24.525","2.00K","1.02%"
"Oct 11, 2020","24.683","25.885","25.885","23.940","5.19K","-2.82%"
"Oct 04, 2020","25.398","24.160","25.570","23.340","5.56K","4.73%"
"Sep 27, 2020","24.251","22.880","24.660","22.880","1.34K","4.08%"
"Sep 20, 2020","23.301","27.030","27.030","22.125","1.35K","-14.90%"
"Sep 13, 2020","27.382","27.305","28.110","26.685","0.73K","0.94%"
"Sep 06, 2020","27.126","27.460","27.990","26.720","0.88K","0.49%"
"Aug 30, 2020","26.994","28.360","29.315","26.775","3.30K","-3.83%"
"Aug 23, 2020","28.070","27.025","28.490","26.810","0.98K","3.40%"
"Aug 16, 2020","27.146","27.400","28.985","26.670","1.02K","2.29%"
"Aug 09, 2020","26.539","29.170","30.125","24.250","2.47K","-5.99%"
"Aug 02, 2020","28.230","25.575","30.595","24.810","1.53K","13.38%"
"Jul 26, 2020","24.899","24.975","26.745","24.000","0.57K","6.12%"
"Jul 19, 2020","23.463","20.195","23.855","20.190","0.56K","15.82%"
"Jul 12, 2020","20.258","19.900","20.205","19.820","0.32K","3.82%"
"Jul 05, 2020","19.512","19.025","19.880","18.905","0.81K","3.96%"
"Jun 28, 2020","18.768","18.565","19.055","18.465","0.66K","1.07%"
"Jun 21, 2020","18.569","18.605","18.795","18.105","0.36K","0.48%"
"Jun 14, 2020","18.480","18.115","18.600","18.050","0.20K","2.18%"
"Jun 07, 2020","18.086","18.505","18.640","18.200","0.39K","-0.41%"
"May 31, 2020","18.160","19.155","19.155","18.030","1.29K","-3.33%"
"May 24, 2020","18.785","18.785","18.785","18.785","0.11K","4.58%"
"May 17, 2020","17.963","17.965","18.160","17.740","0.07K","3.86%"
"May 10, 2020","17.295","15.930","17.320","15.930","0.03K","7.79%"
"May 03, 2020","16.045","15.105","15.290","15.035","0.05K","5.22%"
"Apr 26, 2020","15.249","15.570","15.760","15.245","0.13K","-1.98%"
"Apr 19, 2020","15.557","15.895","15.895","15.025","0.07K","-0.05%"
"Apr 12, 2020","15.565","15.675","16.470","15.540","0.12K","-5.35%"
"Apr 05, 2020","16.444","15.800","15.800","15.690","0.59K","11.99%"
"Mar 29, 2020","14.684","14.684","14.684","14.684","0.59K","-0.11%"
"Mar 22, 2020","14.700","12.780","14.500","12.635","0.01K","17.38%"
"Mar 15, 2020","12.523","13.305","13.305","12.085","0.04K","-14.57%"
"Mar 08, 2020","14.658","16.945","16.965","16.905","0.04K","-16.26%"
"Mar 01, 2020","17.505","17.415","17.415","17.415","0.00K","4.13%"
"Feb 23, 2020","16.811","18.350","18.430","16.900","0.04K","-11.49%"
"Feb 16, 2020","18.993","18.725","18.865","18.725","0.03K","4.40%"
"Feb 09, 2020","18.192","18.192","18.192","18.192","10.20K","0.18%"
"Feb 02, 2020","18.159","18.159","18.159","18.159","6.39K","-1.69%"
"Jan 26, 2020","18.472","18.472","18.472","18.472","4.18K","-0.61%"
"Jan 19, 2020","18.586","18.586","18.586","18.586","3.74K","0.17%"
"Jan 12, 2020","18.554","18.554","18.554","18.554","5.90K","-0.21%"
"Jan 05, 2020","18.593","18.593","18.593","18.593","13.43K","-0.21%"
"Dec 29, 2019","18.633","18.633","18.633","18.633","3.18K","1.16%"
"Dec 22, 2019","18.420","18.420","18.420","18.420","3.47K","4.03%"
"Dec 15, 2019","17.706","17.706","17.706","17.706","1.38K","1.18%"
"Dec 08, 2019","17.499","17.499","17.499","17.499","2.91K","2.37%"
"Dec 01, 2019","17.094","17.094","17.094","17.094","3.51K","-3.02%"
"Nov 24, 2019","17.626","17.626","17.626","17.626","8.50K","0.01%"
"Nov 17, 2019","17.624","17.624","17.624","17.624","4.46K","0.27%"
"Nov 10, 2019","17.576","17.576","17.576","17.576","8.04K","0.61%"
"Nov 03, 2019","17.470","17.470","17.470","17.470","5.65K","-6.58%"
"Oct 27, 2019","18.701","18.701","18.701","18.701","3.63K","0.90%"
"Oct 20, 2019","18.534","18.534","18.534","18.534","5.90K","2.05%"
"Oct 13, 2019","18.162","18.162","18.162","18.162","1.51K","0.23%"
"Oct 06, 2019","18.121","18.121","18.121","18.121","2.28K","-0.42%"
"Sep 29, 2019","18.198","17.600","17.600","17.600","0.00K","-0.24%"
"Sep 22, 2019","18.241","18.130","18.130","18.125","0.00K","-1.14%"
"Sep 15, 2019","18.451","18.451","18.451","18.451","1.00K","1.47%"
"Sep 08, 2019","18.184","18.184","18.184","18.184","0.02K","-2.63%"
"Sep 01, 2019","18.676","18.676","18.676","18.676","0.98K","-1.06%"
"Aug 25, 2019","18.877","18.877","18.877","18.877","4.16K","4.58%"
"Aug 18, 2019","18.051","18.051","18.051","18.051","1.92K","1.67%"
"Aug 11, 2019","17.755","17.755","17.755","17.755","1.76K","1.13%"
"Aug 04, 2019","17.556","17.556","17.556","17.556","1.87K","3.81%"
"Jul 28, 2019","16.912","16.890","16.910","16.890","0.00K","-0.79%"
"Jul 21, 2019","17.046","17.046","17.046","17.046","1.33K","1.27%"
"Jul 14, 2019","16.832","16.832","16.832","16.832","1.36K","6.02%"
"Jul 07, 2019","15.876","15.876","15.876","15.876","0.55K","1.48%"
"Jun 30, 2019","15.645","15.645","15.645","15.645","1.25K","-1.86%"
"Jun 23, 2019","15.942","15.942","15.942","15.942","0.22K","1.63%"
"Jun 16, 2019","15.687","15.340","15.865","15.340","0.21K","3.16%"
"Jun 09, 2019","15.207","15.055","15.400","15.055","0.18K","-1.59%"
"Jun 02, 2019","15.452","15.040","15.480","15.040","0.08K","2.97%"
"May 26, 2019","15.007","14.895","14.895","14.735","0.12K","0.01%"
"May 19, 2019","15.005","14.805","15.060","14.805","0.17K","1.13%"
"May 12, 2019","14.837","15.250","15.250","14.830","0.09K","-2.77%"
"May 05, 2019","15.259","15.450","15.470","15.370","0.27K","-1.43%"
"Apr 28, 2019","15.480","15.100","15.100","15.095","0.32K","-0.69%"
"Apr 21, 2019","15.587","15.550","15.550","15.510","0.09K","0.21%"
"Apr 14, 2019","15.554","15.555","15.555","15.555","0.03K","-0.15%"
"Apr 07, 2019","15.577","15.875","15.875","15.735","0.00K","-0.78%"
"Mar 31, 2019","15.699","15.500","15.715","15.500","0.10K","-0.04%"
"Mar 24, 2019","15.705","15.615","15.765","15.135","0.10K","-1.92%"
"Mar 17, 2019","16.012","15.980","15.980","15.980","0.07K","0.40%"
"Mar 10, 2019","15.948","15.530","15.730","15.345","0.15K","-0.17%"
"Mar 03, 2019","15.975","15.820","15.820","15.740","0.00K","0.57%"
"Feb 24, 2019","15.884","16.625","16.625","15.825","0.01K","-4.41%"
"Feb 17, 2019","16.617","16.590","16.590","16.590","0.00K","1.01%"
"Feb 10, 2019","16.451","16.080","16.095","15.730","3.09K","-0.47%"
"Feb 03, 2019","16.529","15.985","16.190","15.930","2.21K","-0.67%"
"Jan 27, 2019","16.640","15.925","16.470","15.925","2.38K","1.49%"
"Jan 20, 2019","16.396","15.490","15.965","15.490","0.74K","1.90%"
"Jan 13, 2019","16.091","15.900","15.975","15.660","1.01K","-1.56%"
"Jan 06, 2019","16.346","16.115","16.130","15.905","2.26K","-0.72%"
"Dec 30, 2018","16.464","15.710","16.140","15.700","1.50K","2.20%"
"Dec 23, 2018","16.109","15.035","15.690","15.035","0.52K","4.75%"
"Dec 16, 2018","15.379","14.920","15.130","14.915","0.45K","0.42%"
"Dec 09, 2018","15.314","14.880","15.125","14.845","3.11K","-0.48%"
"Dec 02, 2018","15.388","14.730","14.965","14.695","1.29K","3.14%"
"Nov 25, 2018","14.919","14.640","14.735","14.390","0.01K","-1.07%"
"Nov 18, 2018","15.080","14.755","14.900","14.660","0.35K","-0.91%"
"Nov 11, 2018","15.219","14.485","14.780","14.360","0.37K","1.70%"
"Nov 04, 2018","14.965","15.050","15.050","14.495","0.17K","-3.81%"
"Oct 28, 2018","15.558","14.795","14.860","14.645","0.07K","0.45%"
"Oct 21, 2018","15.488","15.050","15.050","15.050","0.01K","0.34%"
"Oct 14, 2018","15.436","15.080","15.080","15.040","0.02K","0.14%"
"Oct 07, 2018","15.414","14.835","14.975","14.715","0.29K","-0.01%"
"Sep 30, 2018","15.415","15.270","15.270","15.010","0.37K","-0.21%"
"Sep 23, 2018","15.448","14.615","14.760","14.590","0.02K","2.41%"
"Sep 16, 2018","15.084","14.750","14.750","14.750","0.01K","1.40%"
"Sep 09, 2018","14.876","14.335","14.475","14.325","0.00K","-0.05%"
"Sep 02, 2018","14.883","14.915","14.915","14.915","0.00K","-2.67%"
"Aug 26, 2018","15.291","15.400","15.400","15.370","0.10K","-2.14%"
"Aug 19, 2018","15.626","15.305","15.305","15.305","0.00K","1.14%"
"Aug 12, 2018","15.450","15.490","15.530","14.705","0.44K","-4.51%"
"Aug 05, 2018","16.179","15.635","15.800","15.580","0.67K","-0.99%"
"Jul 29, 2018","16.340","15.870","15.885","15.865","0.02K","-0.24%"
"Jul 22, 2018","16.379","16.095","16.105","16.000","0.09K","-0.44%"
"Jul 15, 2018","16.452","16.150","16.150","15.585","0.42K","-1.76%"
"Jul 08, 2018","16.746","16.595","16.595","16.595","0.15K","-1.47%"
"Jul 01, 2018","16.996","16.220","16.385","16.135","0.24K","-0.78%"
"Jun 24, 2018","17.130","16.815","16.815","16.330","0.05K","-1.97%"
"Jun 17, 2018","17.475","16.880","16.880","16.730","0.02K","-0.18%"
"Jun 10, 2018","17.506","17.480","17.480","17.480","0.06K","-1.56%"
"Jun 03, 2018","17.783","17.315","17.315","17.315","0.15K","1.59%"
"May 27, 2018","17.505","16.880","16.880","16.880","0.17K","-0.73%"
"May 20, 2018","17.633","17.270","17.270","17.230","0.01K","0.44%"
"May 13, 2018","17.556","16.720","16.830","16.720","0.01K","-1.65%"
"May 06, 2018","17.851","16.955","16.975","16.945","0.03K","1.37%"
"Apr 29, 2018","17.609","16.760","16.935","16.760","0.01K","0.10%"
"Apr 22, 2018","17.591","17.430","17.430","16.950","0.01K","-3.86%"
"Apr 15, 2018","18.298","17.705","17.730","17.705","0.00K","2.75%"
"Apr 08, 2018","17.809","17.065","17.065","17.065","0.03K","1.51%"
"Apr 01, 2018","17.544","16.940","17.010","16.880","0.03K","0.40%"
"Mar 25, 2018","17.474","17.150","17.150","17.150","0.04K","-1.88%"
"Mar 18, 2018","17.809","16.730","17.210","16.730","0.06K","1.91%"
"Mar 11, 2018","17.475","17.115","17.115","16.840","0.04K","-1.93%"
"Mar 04, 2018","17.818","17.155","17.230","17.080","0.05K","0.91%"
"Feb 25, 2018","17.657","16.610","16.650","16.090","25.57K","-0.05%"
"Feb 18, 2018","17.666","16.570","16.570","16.550","0.04K","-1.32%"
"Feb 11, 2018","17.902","16.375","16.375","16.345","0.23K","3.32%"
"Feb 04, 2018","17.327","16.705","16.705","16.540","0.24K","-3.33%"